Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Czech Republic,CZE,50,50,50,50,50.4
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Denmark,DNK,28.1,26.4,27,26.3,26
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Djibouti,DJI,38.1,38.1,38.1,37.6,37.6
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Dominica,DMA,37,37.1,37.1,37,37
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Dominican Republic,DOM,40.1,41.2,43.4,43.5,43.2
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Ecuador,ECU,35.3,34.5,34.5,33.7,33
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,"Egypt, Arab Rep.",EGY,43.1,44.2,43.2,40.6,44.8
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,El Salvador,SLV,34.8,34.8,34.8,38.7,38.7
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Equatorial Guinea,GNQ,47.1,47.1,47.1,47.1,47.1
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Eritrea,ERI,84.5,84.5,84.5,83.7,83.7
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Estonia,EST,48.8,57.8,66.8,49.7,49.4
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Ethiopia,ETH,30.3,30.3,32.5,31.6,31.8
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Faroe Islands,FRO,..,..,..,..,..
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Fiji,FJI,39.3,38.3,37.6,31.1,31.1
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,Finland,FIN,40.8,39.1,40.6,39.9,40.1
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,France,FRA,65.8,65.7,67.4,67.4,68.9
Total tax rate (% of commercial profits),IC.TAX.TOTL.CP.ZS,French Polynesia,PYF,..,..,..,..,..
